ASCII,Barcode
32,11011001100
33,11001101100
34,11001100110
35,10010011000
36,10010001100
37,10001001100
38,10011001000
39,10011000100
40,10001100100
41,11001001000
42,11001000100
43,11000100100
44,10110011100
45,10011011100
46,10011001110
47,10111001100
48,10011101100
49,10011100110
50,11001110010
51,11001011100
52,11001001110
53,11011100100
54,11001110100
55,11101101110
56,11101001100
57,11100101100
58,11100100110
59,11101100100
60,11100110100
61,11100110010
62,11011011000
63,11011000110
64,11000110110
65,10100011000
66,10001011000
67,10001000110
68,10110001000
69,10001101000
70,10001100010
71,11010001000
72,11000101000
73,11000100010
74,10110111000
75,10110001110
76,10001101110
77,10111011000
78,10111000110
79,10001110110
80,11101110110
81,11010001110
82,11000101110
83,11011101000
84,11011100010
85,11011101110
86,11101011000
87,11101000110
88,11100010110
89,11101101000
90,11101100010
91,11100011010
92,11101111010
93,11001000010
94,11110001010
95,10100110000
96,10100001100
97,10010110000
98,10010000110
99,10000101100
100,10000100110
101,10110010000
102,10110000100
103,10011010000
104,10011000010
105,10000110100
106,10000110010
107,11000010010
108,11001010000
109,11110111010
110,11000010100
111,10001111010
112,10100111100
113,10010111100
114,10010011110
115,10111100100
116,10011110100
117,10011110010
118,11110100100
119,11110010100
120,11110010010
121,11011011110
122,11011110110
123,11110110110
124,10101111000
125,10100011110
126,10001011110
200,10111101000
201,10111100010
202,11110101000
203,11110100010
204,10111011110
205,10111101110
206,11101011110
207,11110101110
208,11010000100
209,11010010000
210,11010011100
211,1100011101011
