X0,Y0,Area
-36.5000, -62.0000, 2.0000
-11.8000, -55.6000, 5.0000
13.0000, -49.5000, 6.0000
37.5000, -43.0000, 2.0000
-42.6667, -37.3333, 3.0000
-18.1250, -30.8750, 8.0000
6.6667, -24.8889, 9.0000
31.0000, -18.5000, 6.0000
-49.5000, -12.5000, 4.0000
56.0000, -12.2500, 4.0000
-24.6667, -6.1111, 9.0000
0.0000, 0.0000, 19.0000
24.6667, 6.1111, 9.0000
-56.0000, 12.2500, 4.0000
49.5000, 12.5000, 4.0000
-31.0000, 18.5000, 6.0000
-6.6667, 24.8889, 9.0000
18.1250, 30.8750, 8.0000
42.6667, 37.3333, 3.0000
-37.5000, 43.0000, 2.0000
-13.0000, 49.5000, 6.0000
11.8000, 55.6000, 5.0000
36.5000, 62.0000, 2.0000
