"","mag.ind","mag.act","nm.per.px","comment"
"1",25,33.99,411.9388802,"calc"
"2",33,44.86,312.0749093,"calc"
"3",43,59.41,235.6467211,"KMAG-43X-0001"
"4",57,80.53,173.8375398,"KMAG-57X-0002"
"5",75,101.78,137.5486856,"KMAG-75X-0003"
"6",100,131.36,106.5796627,"KMAG-100X-0004"
"7",130,172.28,81.26538386,"KMAG-130X-0007"
"8",170,231.72,60.41762913,"KMAG-170X-0008"
"9",220,296.7,47.18510674,"KMAG-220X-0009"
"10",290,400.26,34.977654,"KMAG-290X-0010"
"11",380,529.8,26.42494975,"KMAG-380X-0011"
"12",500,691.84,20.2357983,"KMAG-500X-0012"
"13",660,896.77,15.61160497,"KMAG-660X-0013"
"14",870,1177.49,11.8896494,"KMAG-870X-0015"
"15",1150,1554.05,9.008742273,"KMAG-1150X-0016"
"16",1600,2118.24,6.60926941,"KMAG-1600X-0017"
"17",2300,3091.16,4.529044594,"2160 acf"
"18",2900,4192.49,3.339306498,"KMAG-2900X-0019"
"19",4200,5537.05,2.52842328,"KMAG-4200X-0020"
"20",5600,7750.94,1.80623296,"KMAG-5600X-0022"
"21",7300,10081.71,1.388653885,"KMAG-7300X-0023"
"22",9600,13335.24,1.049849871,"KMAG-9600X-0024"
"23",13000,17957.37,0.779624084,"KMAG-13000X-0025"
"24",16500,23077.97,0.606639021,"KMAG-16500X-0026"
"25",22000,30785.24,0.454763377,"KMAG-22000X-0028"
"26",30000,41926.24,0.333919795,"KMAG-30000X-0029"
"27",41000,57376.29,0.244003209,"KMAG-41000X-0030"
"28",57000,79625.4,0.175823291,"calc"
"29",73000,101976.39,0.13728668,"calc"
"30",97000,135502.88,0.103318841,"calc"
"31",135000,188586.47,0.074236501,"calc"
"32",175000,244463.95,0.057268158,"calc"
"33",230000,326383.41,0.042894337,"Graph-230000X-0032"
"34",380000,518518.52,0.027,"Graph-380000X-0033"
"35",470000,656684.01,0.021319234,"calc"
"36",580000,810376.01,0.017275931,"calc"
"37",800000,1117760.01,0.01252505,"calc"
"38",1100000,1536920.06,0.009109127,"calc"
